text,label
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
URGENT: Your account has been suspended! Please click here to verify: http://verification-chase-update.net/login. Enter your routing card numbers immediately.,1
Thank you for contacting customer support. Your ticket #49102 has been successfully resolved and closed.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
Weekly status update: Q3 analytics report completed. Please view the dashboard on our internal intranet.,0
"Invoice Payment Request: Wire transfer authorization of $4,500 needed. Send funds to Routing: 021000021, Account: 98127391823. Confirm back quickly.",1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
Verify your account status. Security breach detected in your department. Input your credentials to bypass holding: http://unsecured-relay.net/auth.,1
"Hi Team, please find attached the meeting notes and project outline from our weekly review. Looking forward to your comments.",0
ATTENTION: CEO requests your response on wire verification instructions. Do not share details with third-party vendors.,1
Dinner invitation this Friday: Let's catch up on project milestones. Let me know your dietary restrictions.,0
